"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WLIXSJPZ","conferencePaper","2024","Xiong, Zhangyang; Li, Chenghong; Liu, Kenkun; Liao, Hongjie; Hu, Jianqiao; Zhu, Junyi; Ning, Shuliang; Qiu, Lingteng; Wang, Chongjie; Wang, Shijie; Cui, Shuguang; Han, Xiaoguang","MVHumanNet: A Large-Scale Dataset of Multi-View Daily Dressing Human Captures","2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","9798350353006","","10.1109/CVPR52733.2024.01872","https://ieeexplore.ieee.org/document/10656111/","","2024-06-16","2025-03-30 16:16:26","2025-03-30 16:16:26","2025-03-30 16:16:26","19801-19811","","","","","","MVHumanNet","","","","","IEEE","Seattle, WA, USA","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","/Users/nikolajmosgaardsomod/Zotero/storage/MW744ZPQ/Xiong et al. - 2024 - MVHumanNet A Large-Scale Dataset of Multi-View Daily Dressing Human Captures.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","","","","","","","","","","","","","","",""
"6K8EAF8P","conferencePaper","2024","Liu, Haolin; Ye, Chongjie; Nie, Yinyu; He, Yingfan; Han, Xiaoguang","LASA: Instance Reconstruction from Real Scans using A Large-scale Aligned Shape Annotation Dataset","2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","9798350353006","","10.1109/CVPR52733.2024.01933","https://ieeexplore.ieee.org/document/10657169/","","2024-06-16","2025-03-30 16:16:29","2025-03-30 16:16:29","2025-03-30 16:16:29","20454-20464","","","","","","LASA","","","","","IEEE","Seattle, WA, USA","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","/Users/nikolajmosgaardsomod/Zotero/storage/29SA2FK2/Liu et al. - 2024 - LASA Instance Reconstruction from Real Scans using A Large-scale Aligned Shape Annotation Dataset.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","","","","","","","","","","","","","","",""
"9C8KUSIR","conferencePaper","2024","Sun, Peng; Shi, Bei; Yu, Daiwei; Lin, Tao","On the Diversity and Realism of Distilled Dataset: An Efficient Dataset Distillation Paradigm","2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","9798350353006","","10.1109/CVPR52733.2024.00897","https://ieeexplore.ieee.org/document/10657238/","Contemporary machine learning, which involves training large neural networks on massive datasets, faces significant computational challenges. Dataset distillation, as a recent emerging strategy, aims to compress real-world datasets for efficient training. However, this line of research currently struggles with large-scale and high-resolution datasets, hindering its practicality and feasibility. Thus, we re-examine existing methods and identify three properties essential for real-world applications: realism, diversity, and efficiency. As a remedy, we propose RDED, a novel computationallyefficient yet effective data distillation paradigm, to enable both diversity and realism of the distilled data. Extensive empirical results over various model architectures and datasets demonstrate the advancement of RDED: we can distill a dataset to 10 images per class from full ImageNet1K [6] within 7 minutes, achieving a notable 42% accuracy with ResNet-18 [14] on a single RTX-4090 GPU (while the SOTA only achieves 21% but requires 6 hours). Code: https://github.com/LINs-lab/RDED.","2024-06-16","2025-03-30 16:16:32","2025-03-30 16:16:32","2025-03-30 16:16:32","9390-9399","","","","","","On the Diversity and Realism of Distilled Dataset","","","","","IEEE","Seattle, WA, USA","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","/Users/nikolajmosgaardsomod/Zotero/storage/TYEDFUDC/Sun et al. - 2024 - On the Diversity and Realism of Distilled Dataset An Efficient Dataset Distillation Paradigm.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","","","","","","","","","","","","","","",""
"NUMF9YYQ","conferencePaper","2024","Zhang, Zhanwei; Chen, Minghao; Xiao, Shuai; Peng, Liang; Li, Hengjia; Lin, Binbin; Li, Ping; Wang, Wenxiao; Wu, Boxi; Cai, Deng","Pseudo Label Refinery for Unsupervised Domain Adaptation on Cross-Dataset 3D Object Detection","2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","9798350353006","","10.1109/CVPR52733.2024.01448","https://ieeexplore.ieee.org/document/10655619/","Recent self-training techniques have shown notable improvements in unsupervised domain adaptation for 3D object detection (3D UDA). These techniques typically select pseudo labels, i.e., 3D boxes, to supervise models for the target domain. However, this selection process inevitably introduces unreliable 3D boxes, in which 3D points cannot be definitively assigned as foreground or background. Previous techniques mitigate this by reweighting these boxes as pseudo labels, but these boxes can still poison the training process. To resolve this problem, in this paper, we propose a novel pseudo label refinery framework. Specifically, in the selection process, to improve the reliability of pseudo boxes, we propose a complementary augmentation strategy. This strategy involves either removing all points within an unreliable box or replacing it with a high-confidence box. Moreover, the point numbers of instances in high-beam datasets are considerably higher than those in low-beam datasets, also degrading the quality of pseudo labels during the training process. We alleviate this issue by generating additional proposals and aligning RoI features across different domains. Experimental results demonstrate that our method effectively enhances the quality of pseudo labels and consistently surpasses the state-of-the-art methods on six autonomous driving benchmarks. Code will be available at https://github.com/Zhanwei-Z/PERE.","2024-06-16","2025-03-30 16:16:36","2025-03-30 16:16:36","2025-03-30 16:16:36","15291-15300","","","","","","","","","","","IEEE","Seattle, WA, USA","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","/Users/nikolajmosgaardsomod/Zotero/storage/L5XLE273/Zhang et al. - 2024 - Pseudo Label Refinery for Unsupervised Domain Adaptation on Cross-Dataset 3D Object Detection.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","","","","","","","","","","","","","","",""
"EPA2424Y","journalArticle","","Verma, Aayush Atul; Chakravarthi, Bharatesh; Vaghela, Arpitsinh; Wei, Hua; Yang, Yezhou","eTraM: Event-based Traffic Monitoring Dataset","","","","","","Event cameras, with their high temporal and dynamic range and minimal memory usage, have found applications in various fields. However, their potential in static traffic monitoring remains largely unexplored. To facilitate this exploration, we present eTraM - a first-of-itskind, fully event-based traffic monitoring dataset. eTraM offers 10 hr of data from different traffic scenarios in various lighting and weather conditions, providing a comprehensive overview of real-world situations. Providing 2M bounding box annotations, it covers eight distinct classes of traffic participants, ranging from vehicles to pedestrians and micro-mobility. eTraM’s utility has been assessed using state-of-the-art methods for traffic participant detection, including RVT, RED, and YOLOv8. We quantitatively evaluate the ability of event-based models to generalize on nighttime and unseen scenes. Our findings substantiate the compelling potential of leveraging event cameras for traffic monitoring, opening new avenues for research and application. eTraM is available at https: //eventbasedvision.github.io/eTraM .","","2025-03-30 16:16:38","2025-03-30 16:16:38","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/nikolajmosgaardsomod/Zotero/storage/MNAM585C/Verma et al. - eTraM Event-based Traffic Monitoring Dataset.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KCXVKPD6","journalArticle","","Gu, Jianyang; Vahidian, Saeed; Kungurtsev, Vyacheslav; Wang, Haonan; Jiang, Wei; You, Yang; Chen, Yiran","Efficient Dataset Distillation via Minimax Diffusion","","","","","","Dataset distillation reduces the storage and computational consumption of training a network by generating a small surrogate dataset that encapsulates rich information of the original large-scale one. However, previous distillation methods heavily rely on the sample-wise iterative optimization scheme. As the images-per-class (IPC) setting or image resolution grows larger, the necessary computation will demand overwhelming time and resources. In this work, we intend to incorporate generative diffusion techniques for computing the surrogate dataset. Observing that key factors for constructing an effective surrogate dataset are representativeness and diversity, we design additional minimax criteria in the generative training to enhance these facets for the generated images of diffusion models. We present a theoretical model of the process as hierarchical diffusion control demonstrating the flexibility of the diffusion process to target these criteria without jeopardizing the faithfulness of the sample to the desired distribution. The proposed method achieves state-of-the-art validation performance while demanding much less computational resources. Under the 100-IPC setting on ImageWoof, our method requires less than one-twentieth the distillation time of previous methods, yet yields even better performance. Source code and generated data are available in https://github.com/vimar-gu/MinimaxDiffusion.","","2025-03-30 16:16:40","2025-03-30 16:16:40","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/nikolajmosgaardsomod/Zotero/storage/Y7MPIHR2/Gu et al. - Efficient Dataset Distillation via Minimax Diffusion.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VQZEQAT3","preprint","2024","Wu, Xiaoyang; Tian, Zhuotao; Wen, Xin; Peng, Bohao; Liu, Xihui; Yu, Kaicheng; Zhao, Hengshuang","Towards Large-scale 3D Representation Learning with Multi-dataset Point Prompt Training","","","","10.48550/arXiv.2308.09718","http://arxiv.org/abs/2308.09718","The rapid advancement of deep learning models often attributes to their ability to leverage massive training data. In contrast, such privilege has not yet fully benefited 3D deep learning, mainly due to the limited availability of large-scale 3D datasets. Merging multiple available data sources and letting them collaboratively train a single model is a potential solution. However, due to the large domain gap between 3D point cloud datasets, such mixed supervision could adversely affect the model's performance and lead to degenerated performance (i.e., negative transfer) compared to single-dataset training. In view of this challenge, we introduce Point Prompt Training (PPT), a novel framework for multi-dataset synergistic learning in the context of 3D representation learning that supports multiple pre-training paradigms. Based on this framework, we propose Prompt-driven Normalization, which adapts the model to different datasets with domain-specific prompts and Language-guided Categorical Alignment that decently unifies the multiple-dataset label spaces by leveraging the relationship between label text. Extensive experiments verify that PPT can overcome the negative transfer associated with synergistic learning and produce generalizable representations. Notably, it achieves state-of-the-art performance on each dataset using a single weight-shared model with supervised multi-dataset training. Moreover, when served as a pre-training framework, it outperforms other pre-training approaches regarding representation quality and attains remarkable state-of-the-art performance across over ten diverse downstream tasks spanning both indoor and outdoor 3D scenarios.","2024-07-21","2025-03-30 16:16:43","2025-03-30 16:16:43","2025-03-30 16:16:43","","","","","","","","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:2308.09718 [cs]","","/Users/nikolajmosgaardsomod/Zotero/storage/PM8ISDUA/Wu et al. - 2024 - Towards Large-scale 3D Representation Learning with Multi-dataset Point Prompt Training.pdf","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:2308.09718","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JSR7GZ77","conferencePaper","2024","Geada, Rob; Towers, David; Forshaw, Matthew; Atapour-Abarghouei, Amir; McGough, A. Stephen","Insights from the Use of Previously Unseen Neural Architecture Search Datasets","2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","9798350353006","","10.1109/CVPR52733.2024.02127","https://ieeexplore.ieee.org/document/10657037/","The boundless possibility of neural networks which can be used to solve a problem – each with different performance – leads to a situation where a Deep Learning expert is required to identify the best neural network. This goes against the hope of removing the need for experts. Neural Architecture Search (NAS) offers a solution to this by automatically identifying the best architecture. However, to date, NAS work has focused on a small set of datasets which we argue are not representative of real-world problems. We introduce eight new datasets created for a series of NAS Challenges: AddNIST, Language, MultNIST, CIFARTile, Gutenberg, Isabella, GeoClassing, and Chesseract. These datasets and challenges are developed to direct attention to issues in NAS development and to encourage authors to consider how their models will perform on datasets unknown to them at development time. We present experimentation using standard Deep Learning methods as well as the best results from challenge participants.","2024-06-16","2025-03-30 16:16:45","2025-03-30 16:16:45","2025-03-30 16:16:45","22541-22550","","","","","","","","","","","IEEE","Seattle, WA, USA","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","/Users/nikolajmosgaardsomod/Zotero/storage/W87INSAH/Geada et al. - 2024 - Insights from the Use of Previously Unseen Neural Architecture Search Datasets.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","","","","","","","","","","","","","","",""
"EAS85N62","conferencePaper","2024","Khanna, Mukul; Mao, Yongsen; Jiang, Hanxiao; Haresh, Sanjay; Shacklett, Brennan; Batra, Dhruv; Clegg, Alexander; Undersander, Eric; Chang, Angel X.; Savva, Manolis","Habitat Synthetic Scenes Dataset (HSSD-200): An Analysis of 3D Scene Scale and Realism Tradeoffs for ObjectGoal Navigation","2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","9798350353006","","10.1109/CVPR52733.2024.01550","https://ieeexplore.ieee.org/document/10657917/","We contribute the Habitat Synthetic Scenes Dataset (HSSD-200), a dataset of 211 high-quality 3D scenes, and use it to test navigation agent generalization to realistic 3D environments. Our dataset represents real interiors and contains a diverse set of 18,656 models of real-world objects. We investigate the impact of synthetic 3D scene dataset scale and realism on the task of training embodied agents to find and navigate to objects (ObjectGoal navigation). By comparing to synthetic 3D scene datasets from prior work, we find that scale helps in generalization, but the benefits quickly saturate, making visual fidelity and correlation to real-world scenes more important. Our experiments show that agents trained on our smaller-scale dataset can outperform agents trained on much larger datasets. Surprisingly, we observe that agents trained on just 122 scenes from our dataset outperform agents trained on 10,000 scenes from the ProcTHOR-10K dataset in terms of zero-shot generalization in real-world scanned environments.","2024-06-16","2025-03-30 16:16:48","2025-03-30 16:16:48","2025-03-30 16:16:48","16384-16393","","","","","","Habitat Synthetic Scenes Dataset (HSSD-200)","","","","","IEEE","Seattle, WA, USA","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","/Users/nikolajmosgaardsomod/Zotero/storage/NGMNPNU9/Khanna et al. - 2024 - Habitat Synthetic Scenes Dataset (HSSD-200) An Analysis of 3D Scene Scale and Realism Tradeoffs for.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","","","","","","","","","","","","","","",""
"LNR73Q6S","conferencePaper","2024","Zhang, Xin; Du, Jiawei; Li, Yunsong; Xie, Weiying; Zhou, Joey Tianyi","Spanning Training Progress: Temporal Dual-Depth Scoring (TDDS) for Enhanced Dataset Pruning","2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","9798350353006","","10.1109/CVPR52733.2024.02477","https://ieeexplore.ieee.org/document/10656153/","Dataset pruning aims to construct a coreset capable of achieving performance comparable to the original, full dataset. Most existing dataset pruning methods rely on snapshot-based criteria to identify representative samples, often resulting in poor generalization across various pruning and cross-architecture scenarios. Recent studies have addressed this issue by expanding the scope of training dynamics considered, including factors such as forgetting event and probability change, typically using an averaging approach. However, these works struggle to integrate a broader range of training dynamics without overlooking well-generalized samples, which may not be sufficiently highlighted in an averaging manner. In this study, we propose a novel dataset pruning method termed as Temporal Dual-Depth Scoring (TDDS), to tackle this problem. TDDS utilizes a dual-depth strategy to achieve a balance between incorporating extensive training dynamics and identifying representative samples for dataset pruning. In the first depth, we estimate the series of each sample’s individual contributions spanning the training progress, ensuring comprehensive integration of training dynamics. In the second depth, we focus on the variability of the sample-wise contributions identified in the first depth to highlight wellgeneralized samples. Extensive experiments conducted on CIFAR and ImageNet datasets verify the superiority of TDDS over previous SOTA methods. Specifically on CIFAR100, our method achieves 54.51% accuracy with only 10% training data, surpassing baselines methods by more than 12.69%. Our codes are available at https://github. com/zhangxin-xd/Dataset-Pruning-TDDS.","2024-06-16","2025-03-30 16:16:51","2025-03-30 16:16:51","2025-03-30 16:16:51","26213-26222","","","","","","Spanning Training Progress","","","","","IEEE","Seattle, WA, USA","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","/Users/nikolajmosgaardsomod/Zotero/storage/5TP6UG93/Zhang et al. - 2024 - Spanning Training Progress Temporal Dual-Depth Scoring (TDDS) for Enhanced Dataset Pruning.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","","","","","","","","","","","","","","",""
